,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
68735,68735.0,160.0,7418.141016062349,5328.958819407971,1104.0,1.0,7423.065816190094,5337.231619622558,7413.216215934604,5320.686019193381,552.5389301846781
25767,25767.0,102.0,3634.9731827825312,4768.9497001320115,461.0,1.0,3639.951982911676,4775.224500294775,3629.9943826533854,4762.67489996925,450.8285533081354
39265,39265.0,233.0,4764.691247131676,1504.0533481538296,652.0,1.0,4771.992047321051,1510.7601483277977,4757.3904469423,1497.3465479798615,940.3533617437596
72085,72085.0,130.0,7653.44708215259,5846.917879603802,1150.0,1.0,7659.014482297003,5854.164679791778,7647.879682008177,5839.671079415828,605.2457203990067
18549,18549.0,90.0,3055.1148297935724,4612.973896853626,348.0,1.0,3059.445629905909,4617.736696977168,3050.784029681236,4608.211096730083,313.9582130075601
79676,79676.0,301.0,8583.560136567801,6201.658187802881,1277.0,1.0,8592.696936804801,6207.5549879558375,8574.423336330801,6195.7613876499245,861.2724874011931
24914,24914.0,117.0,3660.6210511289532,2262.834382686764,448.0,1.0,3669.649851363152,2280.3951831422746,3651.592250894755,2245.2735822312534,1173.4424341559813
27630,27630.0,205.0,3810.5078080520034,3129.7634329870343,489.0,1.0,3815.59460818395,3135.714233141392,3805.4210079200566,3123.8126328326757,677.581973871675
60565,60565.0,384.0,6537.08564638719,4448.483333490789,973.0,1.0,6546.546446632594,4455.730133678764,6527.6248461417845,4441.236533302814,999.0825379105183
34470,34470.0,92.0,4461.183129195124,2397.4142399691045,587.0,1.0,4471.723929468541,2409.467040281743,4450.6423289217055,2385.3614396564662,889.8242112824022
67807,67807.0,132.0,7153.042897429316,5659.882696580142,1085.0,1.0,7157.427697543056,5664.159496691078,7148.65809731558,5655.6058964692065,270.0285540885723
62691,62691.0,197.0,6808.151315215975,2884.3106217235327,1004.0,1.0,6814.156115371733,2890.9094218947,6802.146515060216,2877.7118215523656,914.288869351584
18686,18686.0,83.0,2966.908055782318,4144.6974810920665,350.0,1.0,2973.290855947882,4152.64628129825,2960.5252556167547,4136.748680885881,1083.1812653134027
22131,22131.0,57.0,3291.964125353843,6448.274924494326,404.0,1.0,3296.6729254759853,6455.521724682301,3287.255325231701,6441.028124306351,495.57667514958337
53810,53810.0,62.0,6041.066472299397,2616.391819629818,865.0,1.0,6047.449272464961,2621.964619774372,6034.683672133833,2610.819019485265,313.3906427381156
4402,4402.0,109.0,1331.2620036900043,3082.284341134131,124.0,1.0,1334.2968037687242,3087.155141260475,1328.2272036112845,3077.413541007787,267.89211741773806
37712,37712.0,92.0,4532.5178841389725,3243.3230806700885,628.0,1.0,4537.010684255511,3248.4638808034365,4528.025084022433,3238.1822805367406,248.22311319734717
11766,11766.0,89.0,2127.6162372119725,2032.9628933519125,241.0,1.0,2134.593037392944,2036.7536934502425,2120.639437031001,2029.1720932535827,318.25470595045414
27821,27821.0,199.0,3744.101786442101,2360.6392529532322,492.0,1.0,3752.968586672098,2373.178053278476,3735.234986212105,2348.100452627987,994.3057797427092
64372,64372.0,144.0,6918.963740918785,6815.104536488652,1030.0,1.0,6924.320541057736,6820.515336629002,6913.606940779835,6809.693736348301,490.73518177841623
48358,48358.0,135.0,5426.3572175092995,1717.6719496995208,775.0,1.0,5432.794017676264,1723.5147498510778,5419.920417342335,1711.8291495479646,766.4529104821318
39761,39761.0,211.0,4737.103559873998,2977.567534007132,660.0,1.0,4745.862360101193,2986.650334242732,4728.344759646803,2968.4847337715332,1133.7049920144775
55943,55943.0,182.0,6224.390040025115,5681.735525757074,897.0,1.0,6229.1528401486585,5687.686325911433,6219.627239901573,5675.784725602716,567.7212599323091
68504,68504.0,149.0,7426.067891720682,6084.833228304981,1100.0,1.0,7432.612691890448,6092.512028504163,7419.5230915509155,6077.1544281058,836.4229173120438
63421,63421.0,69.0,6875.613808775321,4883.309498291463,1014.0,1.0,6878.859208859503,4888.234298419207,6872.368408691138,4878.384698163718,275.40428784745535
69987,69987.0,168.0,7521.080274645239,2025.114451080561,1120.0,1.0,7525.573074761778,2029.8772512041035,7516.5874745287,2020.3516509570181,521.3706793677279
76739,76739.0,206.0,8238.868672620505,5221.919946476817,1229.0,1.0,8244.657472770661,5227.330746617168,8233.079872470349,5216.509146336466,592.0282790333108
27094,27094.0,119.0,3782.4451950564976,4918.807160932571,480.0,1.0,3788.1799952052534,4923.947961065918,3776.7103949077427,4913.666360799223,419.71191569386286
11649,11649.0,131.0,2126.6723154336214,2244.5186055377126,240.0,1.0,2131.6511155627672,2249.713405672461,2121.693515304476,2239.3238054029644,453.553030569476
64236,64236.0,89.0,6873.419173579663,7380.474789120258,1027.0,1.0,6877.911973696202,7384.373589221388,6868.926373463124,7376.575989019126,233.40907426882282
22561,22561.0,147.0,3271.695811506361,4969.377946287394,411.0,1.0,3282.884611796588,4980.404746573418,3260.507011216134,4958.351146001369,804.1735885990088
43142,43142.0,326.0,5086.131500978023,2689.4375486001372,701.0,1.0,5094.836301203817,2697.116348799318,5077.426700752229,2681.7587484009564,1246.3216760168186
49682,49682.0,112.0,5706.025665592402,2783.0996138751507,796.0,1.0,5711.058465722948,2787.970414001494,5700.992865461855,2778.2288137488067,458.33083849734004
75716,75716.0,295.0,8001.334574129432,5304.68884582445,1208.0,1.0,8008.311374310404,5312.421646025032,7994.357773948461,5296.956045623869,957.199561177709
5381,5381.0,78.0,1561.7663606479764,2626.689685393125,144.0,1.0,1567.3931607939303,2631.614485520869,1556.1395605020225,2621.76488526538,389.7246449381797
10176,10176.0,268.0,2097.8039019815624,6134.018676158041,220.0,1.0,2109.424702282995,6141.427476350218,2086.1831016801293,6126.609875965864,1388.4112483481579
36320,36320.0,212.0,4435.2033641412845,6845.276396412402,610.0,1.0,4440.290164273232,6853.009196612983,4430.116564009339,6837.543596211821,780.4497112082589
21126,21126.0,56.0,3296.1655080150813,2982.5496267452836,385.0,1.0,3298.6009080782533,2986.12442683801,3293.7301079519093,2978.9748266525567,170.73691185750914
82162,82162.0,206.0,8809.616558976471,5927.489056896418,1318.0,1.0,8817.295359175652,5932.629857029766,8801.93775877729,5922.348256763072,732.2989671102896
31631,31631.0,169.0,4039.7810278087854,5812.164810147136,545.0,1.0,4044.3278279267247,5816.873610269278,4035.2342276908453,5807.4560100249955,502.03934796485487
53088,53088.0,210.0,5878.933722347021,1080.7614007890224,849.0,1.0,5884.236522484572,1087.4682009629905,5873.6309222094715,1074.0546006150544,709.4351931241606
23922,23922.0,70.0,3351.752916738391,938.8904622942207,431.0,1.0,3354.247716803104,943.9772624261676,3349.258116673678,933.803662162274,182.72858339961425
79257,79257.0,316.0,8440.536957908422,5338.739369984716,1265.0,1.0,8446.649758066982,5347.876170221715,8434.424157749861,5329.602569747716,918.0872511486352
59342,59342.0,199.0,6382.995351880789,6518.3487453348935,954.0,1.0,6387.866152007133,6524.245545487852,6378.124551754445,6512.451945181936,643.8111929197106
30786,30786.0,215.0,4002.9023272283375,6233.689568396658,536.0,1.0,4008.3671273700893,6238.722368527205,3997.4375270865858,6228.656768266112,642.1823152352077
47196,47196.0,117.0,5451.94905968383,4373.1772829499105,761.0,1.0,5458.385859850794,4378.474683087319,5445.512259516865,4367.8798828125,648.4427342799863
51552,51552.0,247.0,5775.287886247039,5368.988665062934,828.0,1.0,5781.454686407,5374.561465207487,5769.121086087078,5363.415864918381,748.0838591291803
47908,47908.0,161.0,5402.727155003697,2608.546600986272,770.0,1.0,5409.919955190271,2614.983401153237,5395.534354817122,2602.109800819308,776.6653262119323
14272,14272.0,57.0,2592.590862363577,6150.671141203493,279.0,1.0,2595.0856624282897,6153.759941283613,2590.096062298864,6147.582341123371,161.63715430543087
28314,28314.0,108.0,3851.813610684127,1051.2277321070433,499.0,1.0,3855.8744107894604,1056.2065322361889,3847.752810578793,1046.2489319778979,244.00080329830158
53611,53611.0,213.0,6097.7478522099545,1844.6789230555294,861.0,1.0,6103.752652365714,1853.1137232743204,6091.743052054197,1836.2441228367388,1041.3136850613907
48728,48728.0,87.0,5426.112131070346,799.2107851691544,779.0,1.0,5430.388931181282,804.0275852940978,5421.8353309594095,794.3939850442111,250.51054035601456
31287,31287.0,214.0,4109.229379568249,6523.351156517862,542.0,1.0,4118.4741798080495,6528.113956641406,4099.984579328448,6518.588356394322,596.8627740041156
13518,13518.0,353.0,2282.3596357405186,4205.25736969337,268.0,1.0,2290.0384359396994,4213.422169905156,2274.6808355413377,4197.0925694815805,1214.8404217436305
57222,57222.0,118.0,6307.277645140886,1419.4840141646564,918.0,1.0,6311.7164452560255,1423.0048142559824,6302.838845025748,1415.9632140733304,279.59519242487147
12019,12019.0,200.0,2286.87399879098,1354.6504245996475,244.0,1.0,2291.5287989117205,1359.3052247203889,2282.2191986702387,1349.9956244789066,516.7377383273796
955,955.0,95.0,790.4012424573303,5089.411677474156,54.0,1.0,800.0240427069366,5094.439077604562,780.7784422077239,5084.38427734375,872.3219118144162
41218,41218.0,201.0,4736.757085304707,6505.955675479025,677.0,1.0,4743.193885471672,6509.584475573152,4730.320285137743,6502.326875384898,505.42167486032344
53594,53594.0,187.0,6101.473852306604,1946.954925708473,861.0,1.0,6109.800652522594,1955.8217259384687,6093.147052090615,1938.0881254784765,1160.3158845150006
6335,6335.0,220.0,1545.5210591182113,5309.175277594477,158.0,1.0,1551.903859283775,5315.828077767044,1539.1382589526474,5302.5224774219105,967.7513993251176
31351,31351.0,148.0,4131.855380155146,6518.869156401604,542.0,1.0,4138.778180334717,6526.601956602186,4124.932579975575,6511.136356201023,799.1844289801812
49428,49428.0,59.0,5659.455863121897,2142.431646477431,792.0,1.0,5662.436663199216,2145.628446560353,5656.475063044578,2139.234846394509,204.25636275643487
